Model,Accuracy,Precision,Recall,F1-Score,AUC
Neural Network (Baseline),0.7906316536550745,0.6158357771260997,0.5614973262032086,0.5874125874125874,0.8389211811206696
Neural Network (Weighted),0.7217885024840313,0.48484848484848486,0.7700534759358288,0.5950413223140496,0.8238445839468858
